,SMILES,pKa
1000,CCN(C)Cc1no[n+]([O-])c1C#N,5.79
1001,CCN(C)c1ccccc1,6.02
1002,CCN(C1=NCCN1)c1c(Br)cccc1Br,11.1
1003,CCN(CC#N)CC#N,3.98
1004,CCN(CC)/N=C(\C)N,10.6
1005,CCN(CC)/N=C(\N)CC[Si](C)(C)C,10.65
1006,CCN(CC)C(=O)CN1C(=O)Nc2ccccc2C1c1ccccc1,-0.58
1007,CCN(CC)C(=S)NC(=O)c1ccc(C)cc1,8.77
1008,CCN(CC)C(=S)NC(=O)c1ccc(Cl)cc1,8.0
1009,CCN(CC)C(=S)NC(=O)c1ccc(F)cc1,8.13
1010,CCN(CC)C(=S)NC(=O)c1cccc(C)c1,8.36
1011,CCN(CC)C(=S)NC(=O)c1cccc(F)c1,8.21
1012,CCN(CC)C(=S)NC(=O)c1ccccc1,8.45
1013,CCN(CC)C(=S)S,3.95
1014,CCN(CC)C(C)(C)C=O,8.3
1015,CCN(CC)C(C)C=C(c1cccs1)c1cccs1,8.9
1016,CCN(CC)CC,10.765
1017,CCN(CC)CC#N,4.18
1018,CCN(CC)CC(=O)N(C)c1ccccc1C,8.74
1019,CCN(CC)CC(=O)NC1CCCCC1,8.21
1020,CCN(CC)CC1CO1,8.55
1021,CCN(CC)CCBr,7.0
1022,CCN(CC)CCC#N,7.62
1023,CCN(CC)CCC(C)=O,9.25
1024,CCN(CC)CCC(OC(=O)c1ccccc1)c1ccccc1,7.53
1025,CCN(CC)CCCC#N,9.29
1026,CCN(CC)CCCC(C)=O,10.1
1027,CCN(CC)CCCCC#N,10.08
1028,CCN(CC)CCCN1c2cc(F)ccc2CCc2ccc(F)cc21,7.65
1029,CCN(CC)CCOC(=O)c1ccc2ccccc2c1,7.52
1030,CCN(CC)CCOC(=O)c1ccccc1,8.9
1031,CCN(CC)CCSC,9.62
1032,CCN(CC)CCSC(C)C,9.32
1033,CCN(CC)CCSC1CCCCC1,8.11
1034,CCN(CC)CCSCC(C)C,8.83
1035,CCN(CC)Cc1ccccc1,9.44
1036,CCN(CC)Cc1ccccc1OC,10.2
1037,CCN(CC)Cc1no[n+]([O-])c1C#N,5.8
1038,CCN(CC)S(=O)(=O)c1ccc(N)cc1,1.75
1039,CCN(CC)S(=O)(=O)c1ccccc1C(=O)O,2.96
1040,CCN(CC)S(=O)(=O)c1ccsc1C(=O)O,2.77
1041,CCN(CC)c1ccc(C)cc1,7.18
1042,CCN(CC)c1ccc([N+](=O)[O-])cc1,1.7
1043,CCN(CC)c1ccccc1,6.6
1044,CCN(CC)c1ccccc1C,7.18
1045,CCN(CC)c1ccccn1,7.32
1046,CCN(CC)c1nnc(-c2ccccc2)s1,3.09
1047,CCN(CC1CO1)CC1CO1,6.91
1048,CCN(CCC#N)CCC#N,4.55
1049,CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccc(C)cc1,7.4
1050,CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccc(OC)cc1,7.4
1051,CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1cccc2ccccc12,7.4
1052,CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccccc1,7.4
1053,CCN(Cc1ccccc1)Cc1no[n+]([O-])c1C#N,5.58
1054,CCN(Cl)CC,1.02
1055,CCN(c1ccccc1)C(C)(C)C,8.02
1056,CCN(c1nnn[nH]1)[N+](=O)[O-],2.86
1057,CCN1CC(O[Si](C)(C)C)C1,8.68
1058,CCN1CC1,7.91
1059,CCN1CCC=C1C,11.88
1060,CCN1CCCC1,10.96
1061,CCN1CCCC1C,10.6
1062,CCN1CCCC=C1C,11.57
1063,CCN1CCCCC1,10.68
1064,CCN1CCCCC1C,10.68
1065,CCN1CCOCC1,7.72
1066,CCN1CCc2onc(OC)c2C1,7.0
1067,CCN1CNS(=O)(=O)c2cc(Cl)ccc21,9.33
1068,CCN1[C@@H](C)[C@@H]1C,9.41
1069,CCN1[C@@H](C)[C@H]1C,8.57
1070,CCN=S1(=O)NC(=O)c2ccccc21,6.9
1071,CCNC(=O)CS,8.14
1072,CCNC(=S)Nc1ccc2oc(=O)ccc2c1,5.62
1073,CCNC(=S)OC(C)C,11.52
1074,CCNC(C)C,11.03
1075,CCNC(C)Cc1cccc(C(F)(F)F)c1,10.0
1076,CCNC(N)=O,1.19
1077,CCNC1=NS(=O)(=O)c2ccccc21,11.7
1078,CCNC1=Nc2ccccc2C(C)N1,10.8
1079,CCNCC,11.05
1080,CCNCC(=O)N(CC)CC,8.78
1081,CCNC[Si](C)(C)C,11.11
1082,CCNCc1ccc(C)cc1,10.04
1083,CCNCc1ccccc1,9.75
1084,CCNCl,0.93
1085,CCN[N+](=O)[O-],6.39
1086,CCNc1ccc(C)cc1,5.72
1087,CCNc1cccc2ccccc12,4.19
1088,CCNc1ccccc1,5.29
1089,CCNc1ccccc1C,4.92
1090,CCOC(=O)/C(=N\O)C(C)=O,7.2
1091,CCOC(=O)/C(C)=N/O,9.64
1092,CCOC(=O)/C=C(/C)O,9.51
1093,CCOC(=O)C(=NO)C(=O)OCC,5.48
1094,CCOC(=O)C(C)N,7.8
1095,CCOC(=O)C(CC)C(C)=O,12.74
1096,CCOC(=O)C(Cc1ccc(C)cc1)C(C)=O,11.88
1097,CCOC(=O)C(Cc1ccc([N+](=O)[O-])cc1)C(C)=O,11.06
1098,CCOC(=O)C(Cc1cccc(C)c1)C(C)=O,11.87
1099,CCOC(=O)C(Cc1ccccc1)C(C)=O,11.81
1100,CCOC(=O)C(N)CC,7.71
1101,CCOC(=O)C(N)CC(C)C,7.63
1102,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,9.125
1103,CCOC(=O)C1(c2ccccc2)CCN(CC(F)(F)F)CC1,3.13
1104,CCOC(=O)C1(c2ccccc2)CCN(CC(F)F)CC1,5.23
1105,CCOC(=O)C1(c2ccccc2)CCN(CC)CC1,9.03
1106,CCOC(=O)C1(c2ccccc2)CCN(CCF)CC1,7.43
1107,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,8.9325
1108,CCOC(=O)C1C2c3ccccc3C(c3ccccc32)C1N(C)C,7.48
1109,CCOC(=O)C1CC2CCN1CC2,8.8
1110,CCOC(=O)C1CCCC1=O,10.68
1111,CCOC(=O)C1CCCCC1=O,11.9
1112,CCOC(=O)C1CCc2nc3c(ccn4ccnc34)cc2C1,4.08
1113,CCOC(=O)C1CN2CCC1CC2,9.64
1114,CCOC(=O)CC(=O)c1ccc(C)cc1,10.73
1115,CCOC(=O)CC(C(=O)OCC)n1ccnc1,6.02
1116,CCOC(=O)CC(C)=O,10.66
1117,CCOC(=O)CC(CC(=O)OCC)n1ccnc1,6.45
1118,CCOC(=O)CC(NC)c1ccccc1,8.23
1119,CCOC(=O)CC(c1ccccc1)N(C)C,7.66
1120,CCOC(=O)CCCCCN,10.37
1121,CCOC(=O)CCCCN,10.15
1122,CCOC(=O)CCCN,9.71
1123,CCOC(=O)CCCc1ccccn1,5.32
1124,CCOC(=O)CCN,9.13
1125,CCOC(=O)CCN(C)C,8.6
1126,CCOC(=O)CN,7.74
1127,CCOC(=O)C[C@H](N)c1ccccc1,8.32
1128,CCOC(=O)C[N+](=O)[O-],5.82
1129,CCOC(=O)Cc1ccccn1,4.25
1130,CCOC(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,9.6
1131,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4.58
1132,CCOC(=O)N1CCN(C)CC1,7.31
1133,CCOC(=O)N1CCN(Cc2nc(-c3cccc(Cl)c3)no2)CC1,3.4
1134,CCOC(=O)N1CCN(Cc2nnc(-c3cc(Cl)ccc3F)o2)CC1,3.5
1135,CCOC(=O)N1CCN(Cc2nnc(-c3cccc(Cl)c3)o2)CC1,3.5
1136,CCOC(=O)N1CCN(Cc2noc(-c3cc(Cl)ccc3F)n2)CC1,4.0
1137,CCOC(=O)N1CCNCC1,8.28
1138,CCOC(=O)[C@@H](N)CC(C)C,7.63
1139,CCOC(=O)[C@H](C)N,7.8
1140,CCOC(=O)c1c(O)nnn1Cc1ccccc1,5.38
1141,CCOC(=O)c1cc(C)[n+](O)c(C)c1,-0.13
1142,CCOC(=O)c1cc2cc(F)c(O)c(F)c2oc1=O,3.8
1143,CCOC(=O)c1ccc(CCN)cc1,9.58
1144,CCOC(=O)c1ccc(N)cc1,2.526667
1145,CCOC(=O)c1ccc(O)c([N+](=O)[O-])c1,5.44
1146,CCOC(=O)c1ccc(O)cc1,8.82
1147,CCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.22
1148,CCOC(=O)c1cccc(O)c1,9.05
1149,CCOC(=O)c1cccnc1,3.2
1150,CCOC(=O)c1cn2c(C)c(C)nc2c2c1CCC(c1ccccc1)O2,6.35
1151,CCOC(=O)c1cnc(N(C)C)s1,2.77
1152,CCOC(=O)c1cnc2cc3c(cc2c1OCC)OCO3,4.09
1153,CCOC(=O)c1cnc2ccccc2c1OCC,3.88
1154,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,4.5
1155,CCOC(=O)c1n[nH]c2c(c1=O)c(=O)n(C)c(=O)n2C,7.32
1156,CCOC(=O)c1nn(C)nc1O,5.14
1157,CCOC(=O)c1nn(Cc2ccccc2)nc1O,5.14
1158,CCOC(=O)c1nonc1O,3.24
1159,CCOC(=O)c1nsnc1O,4.21
1160,CCOC(=O)c1s/c(=N/c2ccc3oc(=O)ccc3c2)n(CC)c1C,7.44
1161,CCOC(=S)NC(=O)c1ccccc1,7.46
1162,CCOC(=S)S,1.79
1163,CCOC(C)=N,7.15
1164,CCOCC(=O)O,3.61
1165,CCOCCN(C)c1ccccc1,4.8
1166,CCOCCN(CCOCC)c1ccccc1,4.1
1167,CCOCCNc1ccc(C)cc1,4.6
1168,CCOCCNc1ccc(Cl)cc1,3.28
1169,CCOCCNc1ccc(OC)cc1,4.99
1170,CCOCCNc1cccc(C)c1,4.24
1171,CCOCCNc1cccc(OC)c1,3.67
1172,CCOCCNc1ccccc1,4.04
1173,CCOO,11.8
1174,CCOP(=O)(CN1CCOCC1)OCC,4.0
1175,CCOP(=O)(OCC)C1(C)CCCN1,7.01
1176,CCOP(=O)(SC(C)CC)N1OCCC1=O,10.5
1177,CCOP(=S)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],0.0
1178,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,0.0
1179,CCO[C@H]1C[C@@H]1C(=O)O,4.46
1180,CCO[C@H]1C[C@H]1C(=O)O,4.83
1181,CCO[Si](C)(CN)OCC,9.19
1182,CCOc1c(C#N)cnc2ccccc12,3.18
1183,CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,9.8
1184,CCOc1ccc(-c2ccc(CCCN(C)C)cc2)cc1,9.82
1185,CCOc1ccc(/N=C/N(C)C)cc1,9.24
1186,CCOc1ccc(C(=O)NC(=S)N(CC)CC)cc1,8.83
1187,CCOc1ccc(C(=O)O)c(C)c1,4.54
1188,CCOc1ccc(C(=O)O)cc1,4.64
1189,CCOc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,3.46
1190,CCOc1ccc(C)c(C(=O)O)c1,3.86
1191,CCOc1ccc(N)cc1,5.25
1192,CCOc1ccc(NC(C)=O)cc1,2.2
1193,CCOc1ccc(Nc2ccccc2)cc1,1.41
1194,CCOc1ccc(O)cc1,10.23
1195,CCOc1ccc2ccc(OCC)c(N3CCOCC3)c2c1N1CCOCC1,12.5
1196,CCOc1ccc2nc(/C=C/C=C/c3ccccc3)cc(N)c2c1,9.5
1197,CCOc1ccc2nc(/C=C/c3ccccc3)cc(N)c2c1,9.5
1198,CCOc1ccc2nc3c(c(N4CCOCC4)c2c1)CCC3,7.11
1199,CCOc1ccc2nc3cc([N+](=O)[O-])ccc3c(N)c2c1,7.5
1200,CCOc1cccc(/N=C/N(C)C)c1,8.87
1201,CCOc1cccc(C(=O)O)c1,4.17
1202,CCOc1cccc(C(=O)O)c1C,3.73
1203,CCOc1cccc(C(=O)c2ccc3n2CCC3C(=O)O)c1,3.46
1204,CCOc1cccc(C)c1C(=O)O,3.51
1205,CCOc1cccc(N)c1,4.15
1206,CCOc1cccc[n+]1O,1.18
1207,CCOc1ccccc1/C=C/C(=O)O,4.68
1208,CCOc1ccccc1/C=C\C(=O)O,4.35
1209,CCOc1ccccc1C(=O)O,4.18
1210,CCOc1ccccc1N,4.51
1211,CCOc1ccccn1,3.47
1212,CCOc1noc2c1CN(C)CC2,6.6
1213,CCP(=O)(CC)CC(C)=O,11.94
1214,CCP(=O)(CC)CC=O,10.95
1215,CCP(=O)(O)CC,3.22
1216,CCS(=O)O,2.27
1217,CCSC(=N)c1ccccc1,6.05
1218,CCSC(C)=N,6.9
1219,CCSC(C)C(=O)O,3.8
1220,CCSC(C)O,14.34
1221,CCSCCN,9.48
1222,CCSCCN(CC)CC,9.03
1223,CCSc1nccc(O)[n+]1C,0.9
1224,CC[C@@H](C[C@H]1COC(N)=N1)c1ccccc1,8.98
1225,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,6.99
1226,CC[C@@H]1C(=O)OC[C@H]1Cc1cncn1C,7.17
1227,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1CC=O,8.11
1228,CC[C@]1(c2ccccc2)NC(=O)NC1=O,8.5
1229,CC[C@]12CCCN3CC[C@@]4(c5cccc(OC)c5N(C(C)=O)[C@H]4CC1)[C@@H]32,7.57
1230,CC[C@]12CCCN3CCc4c(n(c5ccccc45)CC1)[C@@H]32,6.9
1231,CC[N+](O)(CC)CC,5.13
1232,CC[Se](=O)O,5.28
1233,CC[Si](C)(C)CC(=O)O,5.4
1234,CC[Si](C)(C)CCCC(=O)O,5.02
1235,CC[Si](C)(C)CN,10.73
1236,CCc1c(C)nnc(C)c1C,5.17
1237,CCc1c(O)c(=O)ccn1CC,6.87
1238,CCc1c(O)ccc(C(C)C)c1C,10.85
1239,CCc1cc(C(=O)O)cs1,4.19
1240,CCc1cc(C(C)C)c(O)cc1C,10.91
1241,CCc1cc(C(C)C)ccc1O,10.77
1242,CCc1cc(C)cc(CC)c1C1C(=O)N2CCOCCN2C1=O,3.82
1243,CCc1cc(C)cc(O)c1,10.1
1244,CCc1cc(C)nnc1C,4.73
1245,CCc1cc(Cl)n(C)c2nc3ccccc3c1-2,7.46
1246,CCc1cc(N)cc(N2CCc3ccccc3C2)n1,9.0
1247,CCc1cc(O)cc(C)c1Cl,9.6
1248,CCc1cc([N+](=O)[O-])cc(CC)c1O,7.73
1249,CCc1cc2c(C)cc(=O)oc2cc1O,8.01
1250,CCc1ccc(C(=O)/C=C/C(=O)O)cc1,3.38
1251,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,0.0
1252,CCc1ccc(C(C)C)cc1O,10.61
1253,CCc1ccc(C)nn1,4.17
1254,CCc1ccc(CCCCN(C)C)cc1,9.9
1255,CCc1ccc(CCCN(C)C)cc1,10.63
1256,CCc1ccc(N)cc1,5.16
1257,CCc1ccc(O)c(C(C)C)c1,10.82
1258,CCc1ccc(O)cc1,10.105
1259,CCc1cccc(CC)c1NC1=NCCN1,10.606667
1260,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,4.7
1261,CCc1cccc2ccc(O)cc12,9.54
1262,CCc1ccccc1C(=O)O,3.79
1263,CCc1ccccc1N,4.37
1264,CCc1ccccc1O,10.2
1265,CCc1ccccn1,5.975
1266,CCc1cccnc1,5.57
1267,CCc1cccnn1,3.58
1268,CCc1ccncc1,5.94
1269,CCc1ccnnc1C,4.03
1270,CCc1cncc(C)c1,5.2
1271,CCc1cnccc1N,9.17
1272,CCc1cnnc(C)c1,4.17
1273,CCc1oc2ccccc2c(=O)c1C(=O)c1cc(Br)c(O)c(Br)c1,4.72
1274,CCc1oc2ccccc2c(=O)c1C(=O)c1ccc(O)cc1,7.74
1275,CCc1oc2ccccc2c1C(=O)c1cc(C)c(O)c(C)c1,8.5
1276,CCn1c(-c2ccc(OC)cc2)cs/c1=N/c1ccc2oc(=O)ccc2c1,7.63
1277,CCn1c(=O)nc2sc(S(N)(=O)=O)nn2c1=O,7.3
1278,CCn1cc(C#N)c(=O)c2ccccc21,-1.55
1279,CCn1cc(C(=O)OCN(C)C(=O)OC)c(=O)c2ccc(C)nc21,6.0
1280,CCn1cc([C@]2(c3cccc(C#CC4CC4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O,7.6
1281,CCn1cccc(O)c1=O,8.99
1282,CCn1ccnc1C,8.09
1283,CCn1cnc2ccccc21,5.66
1284,CCn1cncn1,2.39
1285,CCn1nc(-c2ccccc2)sc1=N,6.1
1286,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,4.7
1287,CCn1nnc(CC(=O)O)n1,3.45
1288,CCn1nnnc1NC(C)=O,8.38
1289,CCn1nnnc1N[N+](=O)[O-],2.02
1290,CN,10.695
1291,CN(C(=O)c1ccccc1)c1ccccn1,1.44
1292,CN(C(=O)c1ccccc1)c1cccnc1,3.66
1293,CN(C(=O)c1ccccc1)c1ccncc1,4.68
1294,CN(C)/C=N/c1ccc(Br)cc1,8.1
1295,CN(C)/C=N/c1ccc(Cl)cc1,8.46
1296,CN(C)/C=N/c1ccc([N+](=O)[O-])cc1,6.71
1297,CN(C)/C=N/c1cccc(Br)c1,8.08
1298,CN(C)/C=N/c1cccc(Cl)c1,7.97
1299,CN(C)/C=N/c1cccc([N+](=O)[O-])c1,7.29
1300,CN(C)/C=N/c1ccccc1,9.0
1301,CN(C)/C=N/c1ccccc1Br,6.71
1302,CN(C)/C=N/c1ccccc1Cl,6.85
1303,CN(C)/C=N/c1ccccc1[N+](=O)[O-],5.65
1304,CN(C)/N=C(\N)CC[Si](C)(C)C,10.2
1305,CN(C)C,9.88
1306,CN(C)C(=O)CS,8.1
1307,CN(C)C(=O)Cn1c(-c2ccccc2)c(C2CCCCC2)c2ccc(-c3noc(=O)[nH]3)cc21,4.8
1308,CN(C)C(=O)N(C)C,1.04
1309,CN(C)C(=O)OCC(=O)O,3.01
1310,CN(C)C(=O)c1ccccc1,1.2
1311,CN(C)C(=O)n1nc(C(C)(C)C)nc1SCC(=O)O,3.49
1312,CN(C)C(=S)OCC(=O)O,2.87
1313,CN(C)C(=S)SCC(=O)O,3.34
1314,CN(C)C(C)(C)C,10.52
1315,CN(C)C(C)(C)C=O,8.4
1316,CN(C)C(C)(C)CCCc1ccc(C(C)(C)C)cc1,10.4
1317,CN(C)C1(CCCc2ccc(C(C)(C)C)cc2)COC1,7.2
1318,CN(C)C1CC2c3ccccc3C1c1ccccc12,8.67
1319,CN(C)C1CCCCC1,10.48
1320,CN(C)C=O,1.6
1321,CN(C)CC#N,4.5
1322,CN(C)CC(C)(C)C,9.75
1323,CN(C)CC(C)(C)CCc1ccc(C(C)(C)C)cc1,9.4
1324,CN(C)CC(CSC#N)SC#N,6.1
1325,CN(C)CC(CSCc1ccccc1)SCc1ccccc1,7.3
1326,CN(C)CC(Cc1ccccc1)c1ccccc1,9.93
1327,CN(C)CC(Cl)CCl,7.5
1328,CN(C)CC(F)(F)F,4.8
1329,CN(C)CC(Oc1ccccc1)Oc1ccccc1,9.2
1330,CN(C)CC1(CCc2ccc(C(C)(C)C)cc2)COC1,8.0
1331,CN(C)CC1=CC2c3ccccc3C1c1ccccc12,8.04
1332,CN(C)CC1C2c3ccccc3C(c3ccccc32)C1COC(=O)N(C)C,8.99
1333,CN(C)CCBr,7.55
1334,CN(C)CCC#N,7.01
1335,CN(C)CCC(=O)C(C)(C)C,9.49
1336,CN(C)CCC(C#N)(c1ccccc1)c1ccccc1,8.31
1337,CN(C)CCC(C)(C)Cc1ccc(C(C)(C)C)cc1,9.5
1338,CN(C)CCC(c1ccccc1)c1ccccc1,9.7
1339,CN(C)CCC1(Cc2ccc(C(C)(C)C)cc2)COC1,9.2
1340,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,9.69
1341,CN(C)CCC=C1c2ccccc2CCc2ccccc21,9.42
1342,CN(C)CCC=C1c2ccccc2COc2ccccc21,8.5925
1343,CN(C)CCCC(=O)Oc1ccc([N+](=O)[O-])cc1,9.6
1344,CN(C)CCCC(=O)Oc1cccc([N+](=O)[O-])c1,9.82
1345,CN(C)CCCC(=O)Oc1ccccc1,9.7
1346,CN(C)CCCC(C)(C)c1ccc(C(C)(C)C)cc1,9.8
1347,CN(C)CCCC1(c2ccc(C(C)(C)C)cc2)COC1,9.6
1348,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,9.5
1349,CN(C)CCCCC(=O)Oc1ccc([N+](=O)[O-])cc1,9.9
1350,CN(C)CCCCC(=O)Oc1cccc([N+](=O)[O-])c1,10.07
1351,CN(C)CCCCC(=O)Oc1ccccc1,10.0
1352,CN(C)CCCCc1ccc(C(C)(C)C)cc1,9.9
1353,CN(C)CCCCc1ccc(C2(C)COC2)cc1,9.9
1354,CN(C)CCCCc1ccc(C2(F)COC2)cc1,9.9
1355,CN(C)CCCCc1ccc(C2COC2)cc1,9.9
1356,CN(C)CCCN1c2cc(F)ccc2CCc2ccc(F)cc21,7.65
1357,CN(C)CCCN1c2ccccc2Sc2ccc(C#N)cc21,9.29
1358,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,9.271818
1359,CN(C)CCCN1c2ccccc2Sc2ccccc21,9.36
1360,CN(C)CCCc1ccc(-c2ccc(Cl)cc2)cc1,9.96
1361,CN(C)CCCc1ccc(-c2ccccc2)cc1,9.88
1362,CN(C)CCCc1ccc(Br)cc1,10.62
1363,CN(C)CCCc1ccc(C(C)(C)C)cc1,10.03
1364,CN(C)CCCc1ccc(Cl)cc1,10.59
1365,CN(C)CCCc1ccc([N+](=O)[O-])cc1,10.74
1366,CN(C)CCCc1ccc2ccccc2c1,10.27
1367,CN(C)CCCc1ccccc1,10.96
1368,CN(C)CCOC(C)(c1ccccc1)c1ccccc1,8.75
1369,CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1,8.64
1370,CN(C)CCOC(c1ccccc1)c1ccccc1,9.066667
1371,CN(C)Cc1c(C(C)(C)C)cccc1C(C)(C)C,9.2
1372,CN(C)Cc1ccccc1,8.995
1373,CN(C)Cc1nc(-c2cn(C)c3ccccc23)no1,5.6
1374,CN(C)Cc1no[n+]([O-])c1C#N,5.82
1375,CN(C)O,5.2
1376,CN(C)S(=O)(=O)NC(=O)CCc1ccccc1,5.86
1377,CN(C)S(=O)(=O)c1ccc(N)cc1,1.53
1378,CN(C)[C@H]1CCC[C@@H]1C#N,7.02
1379,CN(C)[C@H]1CC[C@@H](C)CC1,10.46
1380,CN(C)c1cc[n+](C)c([O-])n1,4.2
1381,CN(C)c1cc[n+](O)cc1,-1.84
1382,CN(C)c1ccc(/C=C/c2cc[n+]([O-])cc2)cc1,4.3
1383,CN(C)c1ccc(Br)cc1,4.25
1384,CN(C)c1ccc(C#N)cc1,1.78
1385,CN(C)c1ccc(C=O)cc1,1.6
1386,CN(C)c1ccc(Cl)cc1,4.39
1387,CN(C)c1ccc(SC#N)cc1,3.3
1388,CN(C)c1ccc([N+](=O)[O-])cc1,0.69
1389,CN(C)c1ccc([N+](C)(C)C)cc1,2.64
1390,CN(C)c1ccc2ccccc2c1,4.57
1391,CN(C)c1cccc(C#N)c1,2.97
1392,CN(C)c1cccc(Cl)c1,3.83
1393,CN(C)c1cccc([N+](=O)[O-])c1,2.58
1394,CN(C)c1cccc([N+](C)(C)C)c1,2.6
1395,CN(C)c1cccc2ccccc12,4.83
1396,CN(C)c1ccccc1,5.1
1397,CN(C)c1cccnc1,2.38
1398,CN(C)c1ccnc(N2CCc3ccccc3C2)c1,8.8
1399,CN(C)c1ccncc1,0.96
1400,CN(C)c1nc2c(o1)CCCC2,6.16
1401,CN(C)c1nc2c(s1)CCCC2,6.16
1402,CN(C)c1ncc(-c2ccccc2)s1,4.89
1403,CN(C)c1ncc(Br)s1,3.66
1404,CN(C)c1ncc([N+](=O)[O-])s1,0.48
1405,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,8.5
1406,CN(C1=NCCCO1)c1ccccc1,10.71
1407,CN(C1=NCCN1)c1c(Br)cccc1Br,10.7
1408,CN(C1=NCCO1)c1ccccc1,8.51
1409,CN(CC#CCN1CCCC1=O)CCBr,5.6
1410,CN(CC(N)=O)C1CCC(OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1c1ccccc1,5.8
1411,CN(CC(N)=O)[C@@H]1CC[C@H](OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H]1c1ccccc1,5.8
1412,CN(CC1CO1)CC1CO1,6.45
1413,CN(CCC#N)CCC#N,4.24
1414,CN(CCCl)CCCl,6.45
1415,CN(CO)c1ccc(Cl)cc1,3.02
1416,CN(CO)c1ccccc1,3.72
1417,CN(Cc1ccc(OC2CN(C(=O)c3nnc(-c4ccccc4)o3)C2)cc1)CC1(C)COC1,8.5
1418,CN(O)C(=O)C(C)(C)C,9.94
1419,CN(O)C(=O)c1ccc([N+](=O)[O-])cc1,7.92
1420,CN(O)C(=O)c1ccccc1,8.07
1421,CN(O)C(N)=O,9.95
1422,CN(O)c1c(NCCc2ccccc2)c(=O)c1=O,8.5
1423,CN(c1ccc(Nc2c3ccccc3nc3ccccc23)cc1)S(C)(=O)=O,6.95
1424,CN(c1ccccc1)C(C)(C)C,7.5
1425,CN(c1ccccc1)C1CCCC1,6.71
1426,CN(c1ccccc1)C1CCCCC1,6.35
1427,CN(c1ccccc1Nc1c2ccccc2nc2ccccc12)S(C)(=O)=O,6.97
1428,CN(c1nc([N+](=O)[O-])n[nH]1)[N+](=O)[O-],3.12
1429,CN(c1nnn[nH]1)[N+](=O)[O-],2.88
1430,CN1C(=N)C(C)(C)c2ccccc21,9.25
1431,CN1C(=N)Cc2ccccc21,9.6
1432,CN1C(=O)C(C)(C)NC1=S,10.8
1433,CN1C(=O)C(c2ccccc2)(c2ccccc2)N=C1N,5.7
1434,CN1C(=O)C2(CCCCC2)NC1=S,11.23
1435,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.525
1436,CN1C(=O)N(CCN2CCOCC2)C(=O)C(C)(C2=CCCCC2)C1=O,5.75
1437,CN1C(=O)N/C(=C\c2ccccc2)C1=O,9.6
1438,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,7.83
1439,CN1C(=S)NC(=O)C12CCCCC2,9.25
1440,CN1C(C)(C)CCCC1(C)C,11.25
1441,CN1C2=CCCC1CCC2,8.8
1442,CN1C=C(C#N)C=CC1,2.7
1443,CN1C=C(C#N)CCC1,2.7
1444,CN1C=CNC1,7.12
1445,CN1C=CNC1Br,3.82
1446,CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O,9.87
1447,CN1CC(O[Si](C)(C)C)C1,9.1
1448,CN1CC1,7.86
1449,CN1CC=CC1,9.92
1450,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,8.87
1451,CN1CCC(=O)NC1=O,11.86
1452,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,8.9
1453,CN1CCC1,10.4
1454,CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12,8.29
1455,CN1CCC=C(C#N)C1,6.35
1456,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,9.54
1457,CN1CCCC1,10.58
